Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,42.000000,42.000000,40.799999,41.099998,37.588333,63508
2013-09-24,40.549999,41.250000,40.099998,40.299999,36.856689,64318
2013-09-25,40.250000,40.650002,39.599998,40.150002,36.719509,62079
2013-09-26,40.049999,40.500000,39.849998,40.000000,36.582321,51473
2013-09-27,40.000000,40.299999,39.799999,39.950001,36.536594,41640
2013-09-30,39.750000,39.900002,39.500000,39.750000,36.353683,36411
2013-10-01,39.549999,40.049999,39.250000,39.950001,36.536594,48955
2013-10-03,40.000000,40.400002,39.750000,40.299999,36.856689,70565
2013-10-04,40.150002,40.799999,40.000000,40.299999,36.856689,55794
2013-10-07,40.349998,41.000000,39.799999,40.700001,37.222515,72988
2013-10-08,41.599998,41.950001,40.650002,40.900002,37.405430,85720
2013-10-09,40.849998,41.200001,40.349998,40.950001,37.451149,55459
2013-10-10,40.950001,42.099998,40.950001,41.500000,37.954159,93173
2013-10-11,42.950001,42.950001,41.599998,42.150002,38.548626,81367
2013-10-14,42.250000,44.099998,42.250000,43.299999,39.600365,172367
2013-10-15,43.250000,44.299999,42.349998,42.549999,38.914444,90597
2013-10-17,41.250000,42.450001,41.250000,41.750000,38.182800,47713
2013-10-18,41.950001,42.549999,41.450001,41.950001,38.365707,112312
2013-10-21,42.150002,43.000000,42.000000,42.450001,38.822990,63010
2013-10-22,42.000000,43.500000,42.000000,43.200001,39.508911,77989
2013-10-23,43.000000,43.900002,42.799999,43.400002,39.691818,84001
2013-10-24,42.500000,44.549999,42.500000,44.000000,40.240555,125606
2013-10-25,44.000000,44.000000,43.000000,43.099998,39.417450,55873
2013-10-28,43.150002,43.400002,41.750000,41.950001,38.365707,79507
2013-10-29,42.150002,43.000000,41.500000,42.700001,39.051628,75794
2013-10-30,42.750000,42.849998,42.099998,42.299999,38.685806,57004
2013-10-31,42.250000,44.750000,41.799999,44.400002,40.606377,210492
2013-11-01,44.750000,47.900002,44.750000,46.549999,42.572674,401301
2013-11-05,47.900002,54.500000,47.599998,52.099998,47.648476,902145
2013-11-06,52.900002,53.849998,51.000000,52.250000,47.785656,285294
2013-11-07,51.299999,52.599998,49.500000,49.799999,45.544994,204017
2013-11-08,49.500000,49.900002,48.150002,48.450001,44.310341,102710
2013-11-11,48.099998,48.450001,45.349998,46.799999,42.801315,203219
2013-11-12,46.000000,46.500000,44.150002,44.599998,40.789284,143473
2013-11-13,44.599998,44.599998,43.500000,43.750000,40.011917,120416
2013-11-14,44.000000,45.450001,44.000000,44.400002,40.606377,74588
2013-11-18,45.000000,47.950001,45.000000,46.000000,42.069672,62745
2013-11-19,46.700001,47.000000,45.900002,46.650002,42.664139,75466
2013-11-20,45.599998,46.950001,45.599998,46.349998,42.389767,56491
2013-11-21,45.500000,46.400002,45.049999,45.150002,41.292297,33498
2013-11-22,45.799999,45.849998,44.299999,44.500000,40.697834,43053
2013-11-25,44.599998,45.549999,44.599998,45.150002,41.292297,37110
2013-11-26,45.049999,45.799999,44.500000,44.799999,40.972206,32172
2013-11-27,44.500000,45.599998,44.049999,44.150002,40.377739,34961
2013-11-28,44.450001,44.500000,44.049999,44.299999,40.514923,25225
2013-11-29,44.500000,45.299999,44.400002,44.750000,40.926476,59993
2013-12-02,44.150002,46.500000,44.150002,46.150002,42.206856,61424
2013-12-03,46.700001,46.700001,45.250000,45.650002,41.749577,25343
2013-12-04,45.650002,45.900002,45.049999,45.549999,41.658119,25253
2013-12-05,45.650002,47.200001,45.400002,45.599998,41.703846,62382
2013-12-06,45.799999,45.849998,45.099998,45.700001,41.795303,57252
2013-12-09,46.200001,47.500000,46.000000,46.450001,42.481224,111430
2013-12-10,46.000000,46.400002,44.700001,45.000000,41.155113,76740
2013-12-11,45.000000,45.250000,44.599998,44.799999,40.972206,28261
2013-12-12,44.650002,44.950001,44.500000,44.599998,40.789284,22400
2013-12-13,44.599998,45.000000,44.049999,44.150002,40.377739,24081
2013-12-16,44.849998,44.849998,43.299999,43.549999,39.829006,46616
2013-12-17,43.750000,44.200001,43.450001,43.650002,39.920464,30206
2013-12-18,43.250000,44.700001,43.250000,44.299999,40.514923,53926
2013-12-19,44.299999,44.599998,43.500000,43.700001,39.966187,38963
2013-12-20,44.049999,44.500000,43.349998,44.000000,40.240555,57239
2013-12-23,44.099998,45.099998,44.000000,44.849998,41.017925,53537
2013-12-24,44.599998,45.400002,44.500000,44.849998,41.017925,39308
2013-12-26,44.700001,45.000000,42.950001,43.349998,39.646091,381133
2013-12-27,43.500000,44.400002,43.500000,43.950001,40.194828,95097
2013-12-30,43.799999,44.150002,43.599998,43.849998,40.103371,56684
2013-12-31,43.500000,44.000000,43.500000,43.900002,40.149101,42689
2014-01-01,44.500000,44.500000,43.750000,44.349998,40.560650,56761
2014-01-02,44.150002,46.750000,44.099998,44.650002,40.835022,391468
2014-01-03,44.049999,44.750000,44.000000,44.599998,40.789284,47226
2014-01-06,44.599998,44.599998,44.000000,44.150002,40.377739,35399
2014-01-07,44.049999,44.299999,43.500000,43.750000,40.011917,41738
2014-01-08,44.000000,44.549999,43.549999,44.099998,40.332008,70154
2014-01-09,43.849998,44.549999,43.599998,43.750000,40.011917,45425
2014-01-10,43.549999,44.450001,43.299999,43.549999,39.829006,35070
2014-01-13,43.549999,43.950001,43.200001,43.349998,39.646091,37956
2014-01-14,43.200001,43.849998,43.200001,43.599998,39.874733,28197
2014-01-15,43.299999,44.099998,43.299999,43.950001,40.194828,35612
2014-01-16,43.950001,44.349998,43.500000,44.049999,40.286285,45215
2014-01-17,43.700001,44.549999,43.700001,44.150002,40.377739,67814
2014-01-20,43.799999,44.900002,43.799999,44.750000,40.926476,54832
2014-01-21,44.900002,46.200001,44.650002,45.900002,41.978218,109995
2014-01-22,45.950001,46.500000,45.450001,46.049999,42.115398,82144
2014-01-23,46.000000,46.750000,45.599998,46.349998,42.389767,64467
2014-01-24,46.000000,46.500000,45.700001,46.099998,42.161121,111076
2014-01-27,45.549999,45.549999,43.500000,43.599998,41.308430,58718
2014-01-28,43.000000,44.450001,42.799999,43.799999,41.497921,46611
2014-01-29,45.700001,47.500000,44.150002,44.599998,42.255871,240978
2014-01-30,43.250000,44.049999,43.250000,43.500000,41.213692,63039
2014-01-31,44.700001,44.700001,43.349998,44.250000,41.924263,47916
2014-02-03,44.000000,44.250000,43.099998,43.599998,41.308430,27486
2014-02-04,43.500000,44.000000,42.950001,43.049999,40.787338,79180
2014-02-05,43.299999,43.299999,42.500000,42.700001,40.455734,62901
2014-02-06,42.700001,44.950001,42.700001,43.000000,40.739967,102814
2014-02-07,43.150002,43.750000,43.000000,43.049999,40.787338,31787
2014-02-10,43.150002,43.549999,43.000000,43.000000,40.739967,31725
2014-02-11,43.250000,43.400002,42.950001,43.000000,40.739967,32371
2014-02-12,43.150002,43.400002,42.200001,42.500000,40.266247,46043
2014-02-13,42.099998,42.599998,42.000000,42.150002,39.934643,26786
2014-02-14,42.250000,43.200001,41.849998,42.200001,39.982014,41169
2014-02-17,42.200001,42.799999,42.099998,42.150002,39.934643,16320
2014-02-18,42.150002,42.950001,42.150002,42.549999,40.313618,27506
2014-02-19,42.299999,42.700001,42.000000,42.099998,39.887268,15600
2014-02-20,41.700001,42.250000,41.700001,42.000000,39.792526,16682
2014-02-21,41.500000,42.400002,41.500000,42.099998,39.887268,21436
2014-02-24,42.200001,42.200001,41.500000,41.950001,39.745152,30179
2014-02-25,41.500000,42.400002,41.250000,41.349998,39.176689,40668
2014-02-26,41.400002,41.700001,40.849998,40.950001,38.797710,56986
2014-02-28,40.950001,41.400002,40.500000,41.099998,38.939823,50750
2014-03-03,40.500000,41.799999,40.400002,40.549999,38.418736,80552
2014-03-04,40.400002,41.400002,40.400002,41.049999,38.892456,78621
2014-03-05,41.200001,41.500000,40.750000,41.049999,38.892456,215642
2014-03-06,41.500000,42.799999,41.049999,42.200001,39.982014,178812
2014-03-07,42.599998,42.900002,42.000000,42.250000,40.029385,283198
2014-03-10,42.500000,42.750000,42.000000,42.200001,39.982014,229778
2014-03-11,42.500000,42.849998,41.849998,42.000000,39.792526,170289
2014-03-12,41.799999,42.200001,41.500000,41.900002,39.697781,66202
2014-03-13,42.099998,42.299999,41.099998,41.299999,39.129318,90235
2014-03-14,41.500000,41.500000,40.549999,40.900002,38.750343,72562
2014-03-18,41.150002,41.700001,41.099998,41.500000,39.318806,68385
2014-03-19,41.549999,42.700001,41.450001,41.599998,39.413551,61884
2014-03-20,41.599998,41.799999,40.900002,40.950001,38.797710,65352
2014-03-21,41.000000,41.799999,41.000000,41.450001,39.271435,78569
2014-03-22,null,null,null,null,null,null
2014-03-24,41.349998,41.799999,41.200001,41.599998,39.413551,134243
2014-03-25,41.349998,42.099998,41.200001,41.349998,39.176689,69443
2014-03-26,41.500000,42.849998,41.500000,42.299999,40.076756,187631
2014-03-27,42.450001,42.950001,41.549999,42.299999,40.076756,215584
2014-03-28,42.349998,44.299999,42.349998,43.950001,41.640038,338792
2014-03-31,44.950001,45.650002,44.400002,45.200001,42.824341,339672
2014-04-01,45.500000,45.599998,44.150002,44.500000,42.161129,170849
2014-04-02,44.950001,45.400002,44.299999,45.049999,42.682224,438787
2014-04-03,45.700001,45.750000,44.750000,45.299999,42.919079,360038
2014-04-04,45.250000,45.299999,44.299999,45.000000,42.634846,217974
2014-04-07,45.000000,45.500000,44.500000,45.150002,42.776966,81731
2014-04-09,45.049999,46.299999,44.849998,45.299999,42.919079,681854
2014-04-10,45.500000,46.849998,43.900002,44.450001,42.113758,1015760
2014-04-11,44.299999,50.400002,44.299999,48.349998,45.808777,1262478
2014-04-15,49.000000,49.299999,46.500000,46.799999,44.340244,310048
2014-04-16,46.750000,47.599998,46.049999,46.299999,43.866524,205981
2014-04-17,46.349998,47.099998,46.150002,46.950001,44.482361,141249
2014-04-21,47.450001,49.849998,47.000000,48.150002,45.619289,229626
2014-04-22,47.750000,48.500000,47.400002,47.700001,45.192940,130482
2014-04-23,48.099998,48.349998,47.299999,47.549999,45.050823,145186
2014-04-24,47.549999,47.549999,47.549999,47.549999,45.050823,0
2014-04-25,47.500000,49.849998,47.250000,48.099998,45.571915,302827
2014-04-28,48.150002,48.700001,47.799999,48.400002,45.856148,175051
2014-04-29,48.849998,49.150002,48.099998,48.200001,45.666664,86139
2014-04-30,48.250000,51.000000,46.500000,47.900002,45.382431,769497
2014-05-02,48.549999,49.299999,47.500000,47.950001,45.429798,143472
2014-05-05,48.450001,48.900002,47.549999,47.900002,45.382431,164620
2014-05-06,48.299999,49.349998,48.299999,48.500000,45.950897,187052
2014-05-07,48.299999,48.650002,47.400002,47.599998,45.098194,152343
2014-05-08,47.799999,48.000000,46.650002,46.750000,44.292870,190560
2014-05-09,46.650002,48.000000,46.299999,47.799999,45.287685,235550
2014-05-12,46.900002,47.299999,46.150002,46.400002,43.961266,498959
2014-05-13,46.500000,47.950001,46.400002,46.650002,44.198132,504082
2014-05-14,47.000000,49.799999,46.700001,48.650002,46.093014,901368
2014-05-15,49.099998,50.500000,48.000000,48.450001,45.903519,505518
2014-05-16,50.000000,52.299999,48.750000,50.349998,47.703655,1378314
2014-05-19,51.099998,55.299999,51.000000,54.900002,52.014515,693850
2014-05-20,56.099998,57.500000,55.500000,56.400002,53.435677,484726
2014-05-21,61.000000,61.000000,56.200001,57.450001,54.430492,417354
2014-05-22,58.400002,60.150002,57.799999,59.650002,56.514866,510343
2014-05-23,60.049999,63.400002,59.900002,62.700001,59.404556,716129
2014-05-26,63.500000,73.199997,63.250000,66.150002,62.673225,1996250
2014-05-27,66.199997,68.400002,60.599998,64.599998,61.204689,512839
2014-05-28,64.099998,66.849998,64.099998,65.250000,61.820530,343737
2014-05-29,66.699997,67.349998,64.500000,65.500000,62.057388,395380
2014-05-30,65.349998,66.900002,62.849998,63.250000,59.925648,255241
2014-06-02,64.349998,66.599998,63.250000,66.250000,62.767967,408670
2014-06-03,66.400002,67.449997,64.000000,65.050003,61.631046,358996
2014-06-04,65.550003,73.500000,64.750000,71.000000,67.268326,1333844
2014-06-05,73.199997,83.800003,72.750000,79.699997,75.511047,3936950
2014-06-06,81.000000,81.949997,77.550003,78.849998,74.705727,1266739
2014-06-09,79.699997,81.800003,79.000000,80.150002,75.937408,671914
2014-06-10,80.500000,80.750000,76.050003,78.150002,74.042526,623065
2014-06-11,78.000000,80.500000,76.500000,77.199997,73.142448,518854
2014-06-12,77.500000,77.550003,74.000000,75.550003,72.139847,223433
2014-06-13,75.500000,76.300003,71.650002,72.099998,68.845573,433750
2014-06-16,71.050003,72.000000,68.050003,70.300003,67.126816,470053
2014-06-17,69.599998,73.699997,69.599998,73.300003,69.991409,331093
2014-06-18,73.349998,75.300003,71.400002,71.949997,68.702339,339371
2014-06-19,72.000000,73.349998,70.000000,70.500000,67.317787,173989
2014-06-20,70.000000,70.800003,69.000000,69.250000,66.124214,131941
2014-06-23,70.000000,71.500000,69.400002,70.349998,67.174561,145362
2014-06-24,70.400002,72.650002,70.400002,71.300003,68.081688,243252
2014-06-25,72.000000,72.000000,70.300003,70.699997,67.508759,100179
2014-06-26,70.349998,72.199997,70.199997,70.650002,67.461021,152586
2014-06-27,70.449997,71.849998,70.250000,70.750000,67.556503,132227
2014-06-30,70.750000,73.400002,69.550003,72.599998,69.323006,782664
2014-07-01,72.300003,73.500000,71.849998,72.449997,69.179771,194991
2014-07-02,72.550003,73.349998,72.050003,72.500000,69.227516,245576
2014-07-03,72.500000,75.400002,71.199997,73.150002,69.848175,690601
2014-07-04,73.199997,78.099998,72.800003,75.900002,72.474052,1144632
2014-07-07,76.000000,76.650002,74.400002,74.599998,71.232727,153381
2014-07-08,74.400002,74.949997,69.349998,70.449997,67.270042,278419
2014-07-09,70.250000,71.000000,65.800003,67.900002,64.835152,297712
2014-07-10,68.000000,72.500000,65.099998,69.400002,66.267441,414277
2014-07-11,67.699997,71.500000,65.900002,66.400002,63.402859,254072
2014-07-14,66.400002,67.400002,63.700001,65.800003,62.829941,155158
2014-07-15,66.199997,67.949997,66.099998,67.250000,64.214493,160341
2014-07-16,67.800003,68.900002,66.900002,67.250000,64.214493,536607
2014-07-17,67.150002,68.099998,67.000000,67.199997,64.166740,492831
2014-07-18,67.099998,67.500000,66.250000,67.000000,63.975777,136083
2014-07-21,67.500000,69.900002,67.050003,69.300003,66.171959,824413
2014-07-22,70.550003,71.500000,68.800003,69.250000,66.124214,1092585
2014-07-23,69.449997,70.550003,68.000000,68.400002,65.312584,201088
2014-07-24,68.900002,69.849998,67.800003,68.000000,64.930634,170813
2014-07-25,68.099998,68.650002,66.000000,66.349998,63.355114,151082
2014-07-28,66.699997,67.500000,65.500000,66.000000,63.020912,144891
2014-07-30,66.000000,66.099998,64.699997,65.550003,62.591228,168280
2014-07-31,65.050003,65.949997,64.400002,64.699997,61.779587,166375
2014-08-01,64.099998,65.849998,62.900002,63.250000,60.395039,247617
2014-08-04,63.299999,64.300003,62.500000,63.099998,60.251812,152687
2014-08-05,63.150002,64.800003,63.099998,63.900002,61.015701,156806
2014-08-06,63.400002,64.300003,63.200001,63.450001,60.586014,68386
2014-08-07,63.000000,63.950001,62.400002,62.549999,59.726635,94225
2014-08-08,61.900002,61.900002,60.099998,60.349998,57.625938,115316
2014-08-11,62.250000,62.250000,59.599998,59.900002,57.196255,76758
2014-08-12,60.049999,60.900002,59.900002,60.650002,57.912399,60660
2014-08-13,58.500000,58.849998,54.650002,55.299999,52.803883,446598
2014-08-14,55.799999,57.299999,55.000000,56.750000,54.188438,165802
