Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,54.549999,55.150002,53.349998,53.549999,48.873966,1744876
2013-09-24,53.000000,54.250000,52.549999,53.200001,48.554531,1380520
2013-09-25,52.750000,53.650002,52.150002,53.500000,48.828339,1291623
2013-09-26,53.700001,54.349998,52.500000,53.849998,49.147766,4393481
2013-09-27,53.549999,54.200001,52.750000,53.000000,48.371990,1147330
2013-09-30,52.650002,52.900002,51.200001,51.650002,47.139874,1100808
2013-10-01,51.750000,52.799999,51.500000,52.299999,47.733116,933254
2013-10-03,52.000000,54.250000,52.000000,54.049999,49.330303,1486121
2013-10-04,54.299999,54.650002,53.150002,53.450001,48.782700,956270
2013-10-07,53.799999,54.700001,52.799999,54.450001,49.695377,1043455
2013-10-08,55.500000,56.299999,53.950001,54.200001,49.467209,1682373
2013-10-09,53.900002,54.799999,53.150002,54.250000,49.512840,1419272
2013-10-10,54.000000,55.299999,54.000000,54.500000,49.741013,1311836
2013-10-11,54.799999,56.000000,54.299999,55.099998,50.288616,2548552
2013-10-14,55.700001,56.750000,55.150002,56.099998,51.201298,2348808
2013-10-15,56.000000,56.900002,53.799999,54.150002,49.421574,1665986
2013-10-17,54.049999,54.700001,52.599998,52.799999,48.189457,2565468
2013-10-18,52.849998,54.400002,52.799999,53.849998,49.147766,1545651
2013-10-21,54.200001,55.000000,54.000000,54.750000,49.969181,1730320
2013-10-22,54.250000,55.849998,54.250000,55.599998,50.744957,1849134
2013-10-23,56.000000,56.650002,54.549999,55.650002,50.790588,2555955
2013-10-24,56.400002,56.450001,55.049999,55.250000,50.425522,1339450
2013-10-25,55.000000,55.250000,53.150002,54.049999,49.330303,1394821
2013-10-28,54.000000,54.299999,52.849998,53.099998,48.463257,1073827
2013-10-29,52.500000,54.849998,52.349998,54.650002,49.877914,2281919
2013-10-30,55.000000,55.349998,53.650002,53.799999,49.102139,1461086
2013-10-31,53.700001,59.000000,53.599998,58.349998,53.254822,5749980
2013-11-01,58.349998,62.000000,58.150002,60.849998,55.536518,5978551
2013-11-05,63.200001,71.800003,62.000000,68.199997,62.244713,13321201
2013-11-06,68.949997,71.000000,66.300003,66.599998,60.784428,6923215
2013-11-07,66.599998,67.900002,63.549999,63.750000,58.183292,4471767
2013-11-08,63.450001,64.900002,62.900002,63.950001,58.365833,2716457
2013-11-11,63.299999,64.400002,61.700001,62.349998,56.905540,2697031
2013-11-12,62.849998,64.300003,61.950001,62.299999,56.859905,2513018
2013-11-13,61.200001,63.400002,58.700001,59.599998,54.395676,5330680
2013-11-14,59.099998,62.000000,59.099998,61.099998,55.764690,3907995
2013-11-18,62.200001,62.750000,61.500000,62.450001,56.996811,2301764
2013-11-19,62.750000,63.000000,61.549999,62.400002,56.951180,1599536
2013-11-20,62.200001,62.700001,60.799999,61.150002,55.810326,2096093
2013-11-21,60.900002,61.000000,59.750000,60.049999,54.806381,1346823
2013-11-22,60.299999,61.099998,58.650002,59.400002,54.213142,1091666
2013-11-25,59.849998,61.900002,59.799999,61.650002,56.266670,2379034
2013-11-26,61.000000,61.650002,59.599998,59.950001,54.715115,1125560
2013-11-27,59.900002,60.400002,59.500000,60.049999,54.806381,999778
2013-11-28,60.500000,61.299999,60.400002,60.599998,55.308350,1987112
2013-11-29,60.500000,62.250000,60.500000,62.049999,56.631741,2030385
2013-12-02,62.500000,62.900002,61.400002,61.700001,56.312302,1112786
2013-12-03,61.049999,61.700001,60.599998,60.849998,55.536518,1137480
2013-12-04,60.500000,61.799999,60.150002,60.549999,55.262718,1203764
2013-12-05,62.000000,62.700001,61.299999,62.049999,56.631741,1541301
2013-12-06,62.000000,62.650002,61.400002,62.400002,56.951180,1384329
2013-12-09,64.099998,64.900002,63.000000,63.299999,57.772587,2072911
2013-12-10,63.500000,63.500000,61.000000,61.549999,56.175396,1397685
2013-12-11,61.450001,62.099998,60.700001,61.650002,56.266670,1296747
2013-12-12,61.500000,61.900002,60.750000,60.950001,55.627792,1074594
2013-12-13,60.500000,60.799999,59.650002,59.849998,54.623840,1316062
2013-12-16,59.000000,60.549999,58.950001,59.549999,54.350037,1014607
2013-12-17,60.200001,60.349998,58.299999,58.599998,53.482994,1026894
2013-12-18,58.000000,61.099998,58.000000,60.299999,55.034554,2118413
2013-12-19,60.950001,61.000000,58.250000,58.849998,53.711166,1649988
2013-12-20,58.950001,61.400002,58.849998,60.849998,55.536518,1377731
2013-12-23,61.150002,62.750000,61.049999,62.099998,56.677368,1755957
2013-12-24,62.700001,63.349998,62.049999,62.549999,57.088078,1408419
2013-12-26,62.799999,63.700001,62.549999,62.900002,57.407520,1863918
2013-12-27,62.799999,64.300003,62.799999,63.250000,57.726955,1165086
2013-12-30,63.150002,63.900002,62.299999,62.500000,57.042446,779866
2013-12-31,62.500000,63.049999,62.049999,62.700001,57.224979,682929
2014-01-01,62.700001,64.449997,62.700001,64.000000,58.411461,1413288
2014-01-02,64.250000,67.250000,62.750000,63.150002,57.635689,5685896
2014-01-03,62.799999,63.849998,62.250000,63.650002,58.092026,1658630
2014-01-06,63.000000,63.599998,62.450001,62.750000,57.270615,913899
2014-01-07,62.650002,63.200001,61.349998,62.099998,56.677368,1213677
