Date,Open,High,Low,Close,Adj Close,Volume
2013-11-14,48.307800,50.288700,48.307800,49.002800,45.031021,308381
2013-11-18,49.037601,49.975899,49.037601,49.315601,45.318462,156715
2013-11-19,48.689999,50.566700,48.689999,50.010700,45.957222,242318
2013-11-20,49.350399,50.288700,49.141800,49.419899,45.414310,124138
2013-11-21,49.697899,49.697899,48.342499,48.585800,44.647812,106144
2013-11-22,49.280899,49.489399,48.516300,48.689999,44.743568,111962
2013-11-25,49.002800,49.280899,48.238300,48.516300,44.583946,113406
2013-11-26,48.968102,48.968102,47.473701,47.577900,43.721607,87179
2013-11-27,47.890701,47.890701,46.987099,47.091400,43.274536,70946
2013-11-28,47.265099,47.716900,47.126099,47.438900,43.593872,98186
2013-11-29,47.960201,50.532001,47.612701,49.107101,45.126865,810707
2013-12-02,49.697899,50.114899,49.176601,49.558899,45.542042,177048
2013-12-03,49.558899,49.767399,49.002800,49.176601,45.190727,93649
2013-12-04,49.107101,50.045399,48.307800,49.280899,45.286575,152273
2013-12-05,49.663200,50.671001,49.489399,49.593700,45.574024,158671
2013-12-06,49.593700,50.045399,49.072300,49.454601,45.446198,79960
2013-12-09,50.045399,50.705799,49.454601,49.663200,45.637886,190017
2013-12-10,49.385101,49.871700,48.585800,48.829102,44.871399,166124
2013-12-11,49.280899,49.280899,48.342499,48.446800,44.520081,74113
2013-12-12,48.550999,49.628399,47.994999,48.516300,44.583946,74619
2013-12-13,48.029701,49.002800,47.786400,48.029701,44.136787,73991
2013-12-16,47.438900,48.342499,46.292000,47.299900,43.466141,93129
2013-12-17,48.272999,48.272999,46.604801,46.848099,43.050957,119816
2013-12-18,47.126099,48.863800,46.917599,47.890701,44.009056,297201
2013-12-19,48.307800,48.307800,46.743801,46.882900,43.082939,93780
2013-12-20,46.917599,48.133999,46.709099,47.751701,43.881321,245434
2013-12-23,47.265099,48.968102,47.265099,48.272999,44.360363,139441
2013-12-24,48.099201,49.767399,48.099201,48.863800,44.903282,202133
2013-12-26,48.933300,50.323502,48.933300,49.558899,45.542042,437351
2013-12-27,50.010700,50.914299,49.280899,49.975899,45.925243,374139
2013-12-30,49.454601,50.219200,49.107101,49.211300,45.222614,107798
2013-12-31,49.558899,49.663200,48.759499,48.933300,44.967148,92427
2014-01-01,50.740501,51.783100,50.149700,50.983799,46.851444,759363
2014-01-02,51.783100,53.729401,51.122799,51.713600,47.522099,846741
